Phi[deg],Theta[deg],Gain[dB]
2,48,2.2509e+00
2,49,2.1349e+00
2,50,2.0179e+00
2,51,1.8999e+00
2,52,1.7810e+00
2,53,1.6613e+00
2,54,1.5408e+00
2,55,1.4196e+00
2,56,1.2978e+00
2,57,1.1755e+00
2,58,1.0527e+00
2,59,9.2947e-01
2,60,8.0595e-01
2,61,6.8217e-01
2,62,5.5823e-01
2,63,4.3420e-01
2,64,3.1015e-01
2,65,1.8616e-01
2,66,6.2320e-02
2,67,-6.1300e-02
2,68,-1.8463e-01
2,69,-3.0758e-01
2,70,-4.3008e-01
2,71,-5.5206e-01
2,72,-6.7344e-01
2,73,-7.9415e-01
2,74,-9.1413e-01
2,75,-1.0333e+00
2,76,-1.1516e+00
2,77,-1.2690e+00
2,78,-1.3855e+00
2,79,-1.5009e+00
2,80,-1.6152e+00
2,81,-1.7285e+00
2,82,-1.8406e+00
2,83,-1.9516e+00
2,84,-2.0614e+00
2,85,-2.6764e+00
2,86,-2.5727e+00
2,87,-2.4677e+00
2,88,-2.3614e+00
2,89,-2.2538e+00
2,90,-2.1451e+00
2,91,-2.0351e+00
2,92,-1.9240e+00
2,93,-1.8118e+00
2,94,-1.6985e+00
2,95,-1.5843e+00
2,96,-1.4692e+00
2,97,-1.3532e+00
2,98,-1.2365e+00
2,99,-1.1191e+00
2,100,-1.0010e+00
2,101,-8.8244e-01
2,102,-7.6338e-01
2,103,-6.4392e-01
2,104,-5.2416e-01
2,105,-4.0417e-01
2,106,-2.8404e-01
2,107,-1.6383e-01
2,108,-4.3630e-02
2,109,7.6480e-02
2,110,1.9642e-01
2,111,3.1613e-01
2,112,4.3552e-01
2,113,5.5452e-01
2,114,6.7306e-01
2,115,7.9108e-01
2,116,9.0850e-01
2,117,1.0253e+00
2,118,1.1413e+00
2,119,1.2566e+00
2,120,1.3711e+00
2,121,1.4847e+00
2,122,1.5973e+00
2,123,1.7090e+00
2,124,1.8196e+00
2,125,1.9293e+00
2,126,2.0378e+00
2,127,2.1451e+00
2,128,2.2514e+00
2,129,2.3564e+00
2,130,2.4602e+00
2,131,2.5628e+00
2,132,2.6641e+00
2,133,2.7641e+00
2,134,2.8628e+00
2,135,2.9601e+00
2,136,3.0562e+00
2,137,3.1508e+00
2,138,3.2441e+00
2,139,3.3359e+00
2,140,3.4263e+00
2,141,3.5153e+00
2,142,3.6028e+00
2,143,3.6889e+00
2,144,3.7734e+00
2,145,3.8564e+00
2,146,3.9378e+00
2,147,4.0176e+00
2,148,4.0959e+00
2,149,4.1724e+00
2,150,4.2473e+00
2,151,4.3204e+00
2,152,4.3918e+00
2,153,4.4613e+00
2,154,4.5290e+00
2,155,4.5948e+00
2,156,4.6586e+00
2,157,4.7204e+00
2,158,4.7801e+00
2,159,4.8378e+00
2,160,4.8932e+00
2,161,4.9465e+00
2,162,4.9974e+00
2,163,5.0460e+00
2,164,5.0922e+00
2,165,5.1360e+00
2,166,5.1772e+00
2,167,5.2159e+00
2,168,5.2519e+00
2,169,5.2853e+00
2,170,5.3159e+00
2,171,5.3437e+00
2,172,5.3688e+00
2,173,5.3909e+00
2,174,5.4101e+00
2,175,5.4264e+00
2,176,5.4397e+00
2,177,5.4499e+00
2,178,5.4571e+00
2,179,5.4612e+00
3,0,5.4513e+00
3,1,5.4493e+00
3,2,5.4440e+00
3,3,5.4357e+00
3,4,5.4241e+00
3,5,5.4095e+00
3,6,5.3917e+00
3,7,5.3707e+00
3,8,5.3466e+00
3,9,5.3194e+00
3,10,5.2890e+00
3,11,5.2556e+00
3,12,5.2191e+00
3,13,5.1796e+00
3,14,5.1370e+00
3,15,5.0915e+00
3,16,5.0431e+00
3,17,4.9917e+00
3,18,4.9375e+00
3,19,4.8805e+00
3,20,4.8207e+00
3,21,4.7581e+00
3,22,4.6929e+00
3,23,4.6251e+00
3,24,4.5546e+00
3,25,4.4817e+00
3,26,4.4063e+00
3,27,4.3285e+00
3,28,4.2483e+00
3,29,4.1658e+00
3,30,4.0811e+00
3,31,3.9942e+00
3,32,3.9051e+00
3,33,3.8140e+00
3,34,3.7209e+00
3,35,3.6259e+00
3,36,3.5289e+00
3,37,3.4301e+00
3,38,3.3296e+00
3,39,3.2273e+00
3,40,3.1234e+00
3,41,3.0179e+00
3,42,2.9109e+00
3,43,2.8024e+00
3,44,2.6925e+00
3,45,2.5812e+00
3,46,2.4687e+00
3,47,2.3549e+00
3,48,2.2400e+00
3,49,2.1240e+00
3,50,2.0070e+00
3,51,1.8890e+00
3,52,1.7701e+00
3,53,1.6503e+00
3,54,1.5299e+00
3,55,1.4087e+00
3,56,1.2869e+00
3,57,1.1646e+00
3,58,1.0418e+00
3,59,9.1856e-01
3,60,7.9504e-01
3,61,6.7126e-01
3,62,5.4732e-01
3,63,4.2329e-01
3,64,2.9924e-01
3,65,1.7525e-01
3,66,5.1410e-02
3,67,-7.2210e-02
3,68,-1.9554e-01
3,69,-3.1849e-01
3,70,-4.4099e-01
3,71,-5.6297e-01
3,72,-6.8435e-01
3,73,-8.0506e-01
3,74,-9.2504e-01
3,75,-1.0442e+00
3,76,-1.1625e+00
3,77,-1.2799e+00
3,78,-1.3964e+00
3,79,-1.5118e+00
3,80,-1.6261e+00
3,81,-1.7394e+00
3,82,-1.8515e+00
3,83,-1.9625e+00
3,84,-2.0723e+00
3,85,-2.6873e+00
3,86,-2.5836e+00
3,87,-2.4786e+00
3,88,-2.3723e+00
3,89,-2.2648e+00
3,90,-2.1560e+00
3,91,-2.0460e+00
3,92,-1.9349e+00
3,93,-1.8227e+00
3,94,-1.7094e+00
3,95,-1.5952e+00
3,96,-1.4801e+00
3,97,-1.3642e+00
3,98,-1.2474e+00
3,99,-1.1300e+00
3,100,-1.0119e+00
3,101,-8.9335e-01
3,102,-7.7429e-01
3,103,-6.5483e-01
3,104,-5.3507e-01
3,105,-4.1508e-01
3,106,-2.9495e-01
3,107,-1.7474e-01
3,108,-5.4540e-02
3,109,6.5570e-02
3,110,1.8551e-01
3,111,3.0522e-01
3,112,4.2461e-01
3,113,5.4361e-01
3,114,6.6215e-01
3,115,7.8017e-01
3,116,8.9759e-01
3,117,1.0144e+00
3,118,1.1304e+00
3,119,1.2457e+00
3,120,1.3602e+00
3,121,1.4737e+00
3,122,1.5864e+00
3,123,1.6981e+00
3,124,1.8087e+00
3,125,1.9183e+00
3,126,2.0269e+00
3,127,2.1342e+00
3,128,2.2405e+00
3,129,2.3455e+00
3,130,2.4493e+00
3,131,2.5519e+00
3,132,2.6532e+00
3,133,2.7532e+00
3,134,2.8519e+00
3,135,2.9492e+00
3,136,3.0452e+00
3,137,3.1399e+00
3,138,3.2331e+00
3,139,3.3250e+00
3,140,3.4154e+00
3,141,3.5044e+00
3,142,3.5919e+00
3,143,3.6780e+00
3,144,3.7625e+00
3,145,3.8455e+00
3,146,3.9269e+00
3,147,4.0067e+00
3,148,4.0850e+00
3,149,4.1615e+00
3,150,4.2364e+00
3,151,4.3095e+00
3,152,4.3808e+00
3,153,4.4504e+00
3,154,4.5181e+00
3,155,4.5838e+00
3,156,4.6477e+00
3,157,4.7095e+00
3,158,4.7692e+00
3,159,4.8269e+00
3,160,4.8823e+00
3,161,4.9356e+00
3,162,4.9865e+00
3,163,5.0351e+00
3,164,5.0813e+00
3,165,5.1251e+00
3,166,5.1663e+00
3,167,5.2050e+00
3,168,5.2410e+00
3,169,5.2744e+00
3,170,5.3050e+00
3,171,5.3328e+00
3,172,5.3578e+00
3,173,5.3800e+00
3,174,5.3992e+00
3,175,5.4155e+00
3,176,5.4287e+00
3,177,5.4390e+00
3,178,5.4462e+00
3,179,5.4503e+00
4,0,5.4361e+00
4,1,5.4340e+00
4,2,5.4288e+00
4,3,5.4204e+00
4,4,5.4089e+00
4,5,5.3942e+00
4,6,5.3764e+00
4,7,5.3554e+00
4,8,5.3313e+00
4,9,5.3041e+00
4,10,5.2738e+00
4,11,5.2404e+00
4,12,5.2039e+00
4,13,5.1643e+00
4,14,5.1218e+00
4,15,5.0763e+00
4,16,5.0278e+00
4,17,4.9765e+00
4,18,4.9223e+00
4,19,4.8652e+00
4,20,4.8054e+00
4,21,4.7429e+00
4,22,4.6777e+00
4,23,4.6098e+00
4,24,4.5394e+00
4,25,4.4665e+00
4,26,4.3910e+00
4,27,4.3132e+00
4,28,4.2330e+00
4,29,4.1506e+00
4,30,4.0658e+00
